,date,confirmados
1,17-01-2020,0
2,18-01-2020,5
3,19-01-2020,0
4,20-01-2020,2
5,21-01-2020,0
6,22-01-2020,0
7,23-01-2020,2
8,24-01-2020,0
9,25-01-2020,1
10,26-01-2020,3
11,27-01-2020,0
12,28-01-2020,3
13,29-01-2020,0
14,30-01-2020,0
15,31-01-2020,1
16,01-02-2020,0
17,02-02-2020,1
18,03-02-2020,0
19,04-02-2020,1
20,05-02-2020,0
21,06-02-2020,0
22,07-02-2020,1
23,08-02-2020,1
24,09-02-2020,0
25,10-02-2020,2
26,11-02-2020,1
27,12-02-2020,0
28,13-02-2020,1
29,14-02-2020,0
30,15-02-2020,0
31,16-02-2020,0
32,17-02-2020,0
33,18-02-2020,0
34,19-02-2020,3
35,20-02-2020,3
36,21-02-2020,1
37,22-02-2020,0
38,23-02-2020,2
39,24-02-2020,3
40,25-02-2020,2
41,26-02-2020,4
42,27-02-2020,8
43,28-02-2020,3
44,29-02-2020,1
45,01-03-2020,1
46,02-03-2020,1
47,03-03-2020,4
48,04-03-2020,5
49,05-03-2020,3
50,06-03-2020,1
51,07-03-2020,2
52,08-03-2020,6
53,09-03-2020,4
54,10-03-2020,12
55,11-03-2020,34
56,12-03-2020,36
57,13-03-2020,60
58,14-03-2020,51
59,15-03-2020,37
60,16-03-2020,71
61,17-03-2020,96
62,18-03-2020,104
63,19-03-2020,151
64,20-03-2020,130
65,21-03-2020,81
66,22-03-2020,65
67,23-03-2020,159
68,24-03-2020,220
69,25-03-2020,174
70,26-03-2020,211
71,27-03-2020,249
72,28-03-2020,182
73,29-03-2020,153
74,30-03-2020,330
75,31-03-2020,298
76,01-04-2020,356
77,02-04-2020,329
78,03-04-2020,370
79,04-04-2020,234
80,05-04-2020,244
81,06-04-2020,595
82,07-04-2020,494
83,08-04-2020,547
84,09-04-2020,441
85,10-04-2020,531
86,11-04-2020,439
87,12-04-2020,447
88,13-04-2020,901
89,14-04-2020,890
90,15-04-2020,931
91,16-04-2020,951
92,17-04-2020,1089
93,18-04-2020,764
94,19-04-2020,724
95,20-04-2020,1439
96,21-04-2020,1396
97,22-04-2020,1336
98,23-04-2020,1425
99,24-04-2020,1639
100,25-04-2020,1063
101,26-04-2020,1015
102,27-04-2020,1829
103,28-04-2020,1841
104,29-04-2020,1807
105,30-04-2020,1806
106,01-05-2020,1421
107,02-05-2020,1377
108,03-05-2020,1262
109,04-05-2020,2535
110,05-05-2020,2114
