cve_ent,cve_ent,cve_ent
101,101,29
1010,1010,3
1011,1011,6
1012,1012,92
1013,1013,13
1014,1014,4
1015,1015,8
1016,1016,26
1017,1017,6
1018,1018,8
1019,1019,1
1020,1020,14
1021,1021,7
1022,1022,20
1023,1023,34
1024,1024,15
1025,1025,1
1026,1026,10
1028,1028,9
1029,1029,1
103,103,2
1031,1031,5
1032,1032,26
1033,1033,4
1034,1034,5
1035,1035,4
1036,1036,26
1037,1037,1
1038,1038,19
1039,1039,15
104,104,20
105,105,755
106,106,2
107,107,558
108,108,24
109,109,3
11,11,1614
110,110,9
111,111,89
1110,1110,1
1111,1111,132
1112,1112,19
1113,1113,17
1114,1114,116
1115,1115,255
1116,1116,22
1117,1117,725
1118,1118,30
1119,1119,11
112,112,121
1120,1120,2864
1121,1121,24
1122,1122,7
1123,1123,118
1124,1124,8
1125,1125,90
1126,1126,53
1127,1127,358
1128,1128,106
1129,1129,20
113,113,96
1130,1130,69
1131,1131,199
1132,1132,54
1133,1133,121
1134,1134,3
1135,1135,102
1136,1136,6
1137,1137,246
1138,1138,5
1139,1139,33
114,114,59
1140,1140,10
1141,1141,32
1142,1142,114
1143,1143,6
1144,1144,58
1145,1145,7
1146,1146,35
115,115,88
116,116,1
117,117,618
118,118,54
119,119,67
12,12,33
121,121,1483
1211,1211,47
1212,1212,18
1213,1213,12
1214,1214,6
1215,1215,8
1216,1216,4
1217,1217,12
1218,1218,8
122,122,5
1220,1220,1
1221,1221,38
1222,1222,22
1223,1223,7
1225,1225,6
1226,1226,3
1227,1227,15
1228,1228,21
1229,1229,289
123,123,17
1230,1230,10
1231,1231,3
1232,1232,5
1233,1233,10
1234,1234,30
1235,1235,241
1236,1236,9
1238,1238,129
1239,1239,17
124,124,3
1240,1240,7
1241,1241,1
1242,1242,6
1244,1244,5
1245,1245,1
1246,1246,40
1247,1247,3
1248,1248,24
1249,1249,4
125,125,6
1250,1250,41
1251,1251,8
1252,1252,11
1253,1253,20
1254,1254,10
1255,1255,148
1256,1256,8
1257,1257,28
1258,1258,34
1259,1259,20
126,126,3
1260,1260,1
1261,1261,19
1262,1262,3
1263,1263,1
1264,1264,12
1265,1265,8
1266,1266,63
1267,1267,23
1268,1268,23
1269,1269,1
127,127,15
1270,1270,8
1271,1271,4
1272,1272,1
1273,1273,5
1274,1274,3
1275,1275,48
1277,1277,8
1278,1278,1
128,128,5
1280,1280,4
1281,1281,1
129,129,3
13,13,22
131,131,21
1310,1310,84
1311,1311,6
1312,1312,20
1313,1313,75
1314,1314,6
1315,1315,17
1316,1316,64
1317,1317,9
1318,1318,8
1319,1319,20
132,132,19
1320,1320,2
1321,1321,36
1322,1322,31
1323,1323,56
1324,1324,12
1325,1325,14
1326,1326,7
1327,1327,13
1328,1328,96
1329,1329,47
133,133,95
1330,1330,89
1331,1331,6
1332,1332,8
1333,1333,3
1334,1334,8
1335,1335,10
1336,1336,7
1337,1337,14
1338,1338,5
1339,1339,24
134,134,5
1340,1340,5
1341,1341,60
1342,1342,11
1344,1344,6
1345,1345,8
1346,1346,21
1347,1347,2
1348,1348,784
1349,1349,7
135,135,32
1350,1350,49
1351,1351,245
1352,1352,51
1353,1353,4
1354,1354,47
1355,1355,17
1356,1356,41
1357,1357,12
1358,1358,20
1359,1359,17
136,136,17
1360,1360,5
1361,1361,126
1362,1362,6
1363,1363,131
1364,1364,16
1365,1365,12
1366,1366,11
1367,1367,50
1368,1368,4
1369,1369,235
137,137,7
1370,1370,27
1371,1371,2
1372,1372,20
1373,1373,14
1374,1374,54
1375,1375,40
1376,1376,237
1377,1377,304
1378,1378,4
1379,1379,3
138,138,82
1380,1380,8
1381,1381,25
1382,1382,43
1383,1383,60
1384,1384,24
139,139,33
14,14,12
141,141,15
1410,1410,4
14100,14100,13
14101,14101,452
14103,14103,7
14104,14104,8
14105,14105,7
14106,14106,1
14107,14107,2
14108,14108,38
14109,14109,15
1411,1411,2
14110,14110,12
14111,14111,6
14112,14112,3
14113,14113,4
14114,14114,25
14115,14115,5
14116,14116,2
14117,14117,1
14118,14118,8
14119,14119,10
1412,1412,2
14120,14120,1372
14121,14121,19
14122,14122,1
14123,14123,11
14124,14124,33
14125,14125,3
1413,1413,39
1414,1414,5
1415,1415,59
1416,1416,22
1417,1417,6
1418,1418,112
1419,1419,5
142,142,21
1420,1420,5
1421,1421,26
1422,1422,33
1423,1423,112
1424,1424,37
1425,1425,32
1426,1426,2
1427,1427,5
1429,1429,7
143,143,42
1430,1430,39
1431,1431,6
1432,1432,2
1433,1433,19
1435,1435,39
1436,1436,11
1437,1437,15
1438,1438,3
1439,1439,3888
144,144,1
1440,1440,2
1441,1441,14
1442,1442,9
1443,1443,5
1444,1444,35
1445,1445,16
1446,1446,8
1447,1447,28
1448,1448,10
1449,1449,2
145,145,10
1450,1450,21
1451,1451,11
1452,1452,3
1453,1453,254
1454,1454,2
