cve_ent,Nom_Ent,cve_mun,nom_mun,cve_ent_mun1,cve_ent_mun2,cve_ent_mun3,cve_ent_mun3
1,Aguascalientes,1,Aguascalientes,1001,11,1001,1001
1,Aguascalientes,2,Asientos,1002,12,1002,1002
1,Aguascalientes,3,Calvillo,1003,13,1003,1003
1,Aguascalientes,4,Cosío,1004,14,1004,1004
1,Aguascalientes,5,Jesús María,1005,15,1005,1005
1,Aguascalientes,6,Pabellón de Arteaga,1006,16,1006,1006
1,Aguascalientes,7,Rincón de Romos,1007,17,1007,1007
1,Aguascalientes,8,San José de Gracia,1008,18,1008,1008
1,Aguascalientes,9,Tepezalá,1009,19,1009,1009
1,Aguascalientes,10,El Llano,1010,110,1010,1010
1,Aguascalientes,11,San Francisco de los Romo,1011,111,1011,1011
2,Baja California,1,Ensenada,2001,21,2001,2001
2,Baja California,2,Mexicali,2002,22,2002,2002
2,Baja California,3,Tecate,2003,23,2003,2003
2,Baja California,4,Tijuana,2004,24,2004,2004
2,Baja California,5,Playas de Rosarito,2005,25,2005,2005
3,Baja California Sur,1,Comondú,3001,31,3001,3001
3,Baja California Sur,2,Mulegé,3002,32,3002,3002
3,Baja California Sur,3,La Paz,3003,33,3003,3003
3,Baja California Sur,8,Los Cabos,3008,38,3008,3008
3,Baja California Sur,9,Loreto,3009,39,3009,3009
4,Campeche,1,Calkiní,4001,41,4001,4001
4,Campeche,2,Campeche,4002,42,4002,4002
4,Campeche,3,Carmen,4003,43,4003,4003
4,Campeche,4,Champotón,4004,44,4004,4004
4,Campeche,5,Hecelchakán,4005,45,4005,4005
4,Campeche,6,Hopelchén,4006,46,4006,4006
4,Campeche,7,Palizada,4007,47,4007,4007
4,Campeche,8,Tenabo,4008,48,4008,4008
4,Campeche,9,Escárcega,4009,49,4009,4009
4,Campeche,10,Calakmul,4010,410,4010,4010
4,Campeche,11,Candelaria,4011,411,4011,4011
5,Coahuila de Zaragoza,1,Abasolo,5001,51,5001,5001
5,Coahuila de Zaragoza,2,Acuña,5002,52,5002,5002
5,Coahuila de Zaragoza,3,Allende,5003,53,5003,5003
5,Coahuila de Zaragoza,4,Arteaga,5004,54,5004,5004
5,Coahuila de Zaragoza,5,Candela,5005,55,5005,5005
5,Coahuila de Zaragoza,6,Castaños,5006,56,5006,5006
5,Coahuila de Zaragoza,7,Cuatro Ciénegas,5007,57,5007,5007
5,Coahuila de Zaragoza,8,Escobedo,5008,58,5008,5008
5,Coahuila de Zaragoza,9,Francisco I. Madero,5009,59,5009,5009
